Serial,Customer No,Rooms,Members,Fans,Lights,Freezes,Microwave Oven,Geyser,AC,Washing Machine,TV,PC,Induction Stove,Profession,Salary,post_21_july_unit,post_21_august_unit,post_21_sep_unit,post_21_oct_unit,post_21_nov_unit,post_21_dec_unit,post_22_jan_unit,post_22_feb_unit,post_22_mar_unit,post_22_april_unit,post_22_may_unit,post_22_june_unit,pre_22_apr_unit,pre_22_may_unit,pre_22_june_unit,pre_22_july_unit,pre_22_aug_unit,pre_22_sep_unit,pre_22_oct_unit,pre_22_nov_unit,pre_22_dec_unit,pre_23_jan_unit,pre_23_feb_unit,pre_23_mar_unit,pre_23_apr_unit,pre_23_may_unit,pre_23_june_unit,pre_23_jul_unit,pre_23_aug_unit,pre_23_sep_unit,pre_23_oct_unit,pre_23_nov_unit,pre_23_dec_unit,,
357,17707698,5,5,5,10,2,1,0,1,2,1,2,0,,,268,347,290,323,158,115,103,110,236,295,306,50,,,283.62,300.42,345.47,324.42,289.35,201.37,127.13,110.71,135.48,240.36,247.02,289.2,328.42,325.99,373.52,401.11,370.2,240.52,183.86,,
359,17716644,5,7,5,12,2,2,1,2,1,1,4,0,,,378,379,396,369,356,319,318,270,259,45,176.79,,330.91,328.32,293.56,347.48,276.2,303.95,221.29,270,310.41,360.53,297,301.72,295.96,205.18,297.85,253.43,293.53,326.68,309.88,222.39,268.6,,
360,17691768,5,5,4,11,1,2,1,1,1,1,2,0,,,257,263,276,384,226,192,259,262,337,206.17,176.79,,150.3,256.87,229.36,408.89,323.15,475,519.56,393.29,312.05,218.26,219.59,289.42,363.96,478.05,630.64,670.85,569.36,636.42,582.21,437.48,327.29,,
361,17722352,5,4,5,10,2,2,1,2,1,2,2,1,,,503,515,474,465,350,305,260,232,335,411,590,385,,,274.27,371.49,486.98,482.33,382.96,355.49,261.01,237.9,232.14,311.56,358.71,448.39,492.55,469.36,464.81,43.8,68.14,63.74,43.27,,
362,17719403,5,5,5,14,1,1,0,2,2,2,3,0,,,273,315,277,288,193,137,138,138,182,242,200,20,,,273.69,253.96,242.77,235.39,203.08,157.37,147.76,132.98,138.51,199.57,226,220.66,230.51,232.73,224.22,230.73,222.67,165.19,152.35,,
363,17707819,5,2,5,11,0,0,0,0,0,0,0,0,,,22,21,10,72,133,72,64,64,127,199,96,,,,309.32,199.46,186.56,181.12,156.39,144,91.41,70.54,91.42,171.83,172.57,160.12,169.89,176.91,159.28,140.42,133.78,101,75.88,,
364,17715078,5,5,5,13,1,1,0,1,2,1,2,0,,,205,253,323,302,166,72,97,69,159,174,94,,,61.37,233.41,231.94,133.28,178.97,126.23,111.38,104.76,86.6,89.39,114.33,170.17,173.3,159.81,128.89,183.03,235.03,164.18,139.77,113.94,,
365,17688325,4,5,4,11,1,1,0,1,1,1,2,0,,,206,419,378,285,269,167,178,232,338,123,198.73,,248.2,293.29,384.16,307.33,302.04,337.27,271.22,327.6,253.18,181.3,168.26,315.81,362.41,360.96,356.69,349.65,340.44,331.07,347.19,316.51,180.74,,
366,17701222,4,6,4,10,1,2,0,0,1,1,2,0,,,247,223,231,211,162,110,120,113,181,246,283,20,,,292.65,333.78,324.39,326.19,262.51,160.77,123.63,111.64,118.64,179.31,384.89,429.32,387.31,381.58,365.37,325.95,293.64,195.85,149.37,,
367,17720407,5,4,5,10,1,2,1,1,1,2,2,0,,,320,283,293,309,210,122,143,142,205,325,311,29,,,298.59,307.43,297.54,282.33,293.37,201.79,148.62,137.45,140,203.17,329.49,274.27,324.78,301.9,263.63,231.47,196.46,154.07,137.81,,
368,17711234,4,5,4,10,0,0,1,0,1,0,0,0,,,38,30,151,257,215,82,108,99,343,369,150,,,169.21,418.86,190.05,344.9,313.6,250.46,222.74,85.42,86.99,145.18,332.41,207.1,372.5,290.83,272.13,302.28,254.34,264.84,308.99,145.66,,
369,17727550,5,5,5,9,0,0,0,0,0,0,2,0,,,101,103,99,94,54,50,48,46,63,97,81,0,,17.96,106.19,102,104.73,99.27,83.23,47.37,46.91,41.49,39.72,46.37,71.24,85.49,102.26,98.88,96.95,93.83,72.27,52.8,41.61,,
370,17689111,4,8,4,7,2,2,0,1,1,1,2,0,,,287,230,249,186,157,229,284,286,300,340,352,,,103.93,306.2,214.72,211.27,195.09,190.89,173.34,260.02,285.72,256.65,369.06,495.95,341.1,220.97,198.73,229.44,223.86,233.25,186.81,269.61,,
371,17724452,5,5,5,8,2,1,1,1,2,1,3,0,,,443,421,469,392,270,176,174,165,265,170,43.8,,,351.97,70.75,574.98,346.56,323.11,283.15,206.64,186.83,136.28,169.93,259.17,293.24,302.61,357.53,395.21,378.7,395.68,329.28,249.7,205.62,,
372,17720125,5,4,5,12,0,0,0,0,0,0,0,0,,,84,71,65,76,63,38,39,40,58,63,68,2,,,66.29,65.97,61.75,53.35,52.66,58.32,39.3,32.96,46.22,71.03,84.57,73.38,82.86,69.33,93.63,95.85,86.16,82.47,62.62,,
373,17699871,5,2,5,13,0,0,0,0,0,0,2,0,,,127,52,130,158,109,68,83,70,141,157,90,,,,203.59,122.45,172.66,179.9,176.02,137.47,95.48,73.04,108.53,155.05,144.39,203.49,190.92,148.44,177.35,99.39,106.81,64.88,42.47,,
374,17697786,4,5,4,9,1,1,0,1,1,1,2,0,,,398,367,438,516,201,142,153,170,361,523,309,,,,425.46,524.25,554.15,516.53,435.25,231.56,197.03,185.91,193.76,268.41,426.21,360.79,592.86,604.57,441.75,460.09,340.88,218.8,162.02,,
375,17708874,5,3,5,10,2,2,0,2,1,1,3,0,,,333,282,259,210,151,115,130,140,305,300,147,,,117.07,322.43,271.66,288.52,328.04,290.06,237.79,108.82,81.4,145.34,269.66,239.37,265.34,277.67,281.08,306.41,261.99,240.92,171.46,98.36,,
376,17682720,4,5,4,10,1,0,0,0,0,0,1,0,,,45,9,131,116,69,90,104,108,115,124,137,2,,,66.65,31.11,78.93,102.75,47.06,97.95,65.65,41.59,58.43,101.75,180.33,201.5,264.1,344.26,298.7,296.72,249.51,186.38,81.04,,
377,17680194,5,9,5,11,1,2,1,3,1,2,4,0,,,855,845,608,468,387,175,195,152,341,590,367,,,,620.68,489,505.37,465.76,369.5,233.71,136.27,125.05,142.69,290.84,414.51,464.36,549.57,535.59,559.94,556.2,495.51,296.36,180.19,,
378,17708662,4,5,4,12,2,1,0,1,2,1,1,0,,,253,294,279,250,224,101,52,122,441,412,419,357,,,24.86,249.66,245.18,236.24,209.53,163.89,116.11,98.27,121.5,184.9,218.78,218.95,217.77,232.03,222.79,220.34,168,145.8,118.43,,
379,17725107,4,2,4,11,2,1,2,2,2,2,2,1,,,436,462,452,487,429,360,358,336,533,610,604,501,,,427.1,602.8,344.34,510.82,499.89,409.51,245.17,211.45,228.18,327.16,266.01,372.41,438.93,392.47,361.63,370.1,315.52,254.48,224.1,,
380,17681921,4,7,4,11,2,2,0,0,0,2,1,1,,,201,230,195,199,100,91,96,119,125,171,188,2,,,177.34,196.14,206.17,182.89,192.36,149.39,121.99,132.04,115.29,149.69,212,238.86,240.75,206.25,213.11,236.63,214.93,181.55,162.29,,
381,17705494,5,2,5,14,1,2,0,0,0,1,2,0,,,275,255,249,237,179,140,154,148,218,188,178,125,,,37.93,194.01,189.65,178.63,168.71,155.79,114.22,92.55,100.84,147.29,170.27,158.68,188.52,208.02,207.34,210.28,97.08,136.68,105.47,,
382,17675450,5,2,5,13,2,2,0,0,1,1,2,0,,,207,239,256,200,158,73,88,98,110,218.95,217.77,,50,150,150,250,379.6,194.76,163.43,149.83,100.52,106.73,125.84,140.25,273.66,211.48,255.61,208.47,218.53,221.35,169.19,142.9,81.88,,
383,17685674,4,6,4,12,2,2,0,2,2,1,3,1,,,569,638,555,482,267,162,121,170,211,428,499.03,0,,,209.21,630.58,609.39,505.63,459.78,252.73,176.49,163.08,196.32,330.36,597.05,519.02,645.82,696.53,500.64,499.03,452.13,309.84,227.11,,
384,17707950,5,6,5,8,0,0,0,0,1,0,3,0,,,37,163.7,39,126,106,90,115,92,139,212,96,,,,191.08,219.4,149.45,148.18,108.91,83.66,79.25,91.88,59.47,104.88,127.74,139.23,131.75,147.59,149.16,144.41,116.41,88.96,60.57,,
385,17686117,4,6,4,5,1,2,1,1,0,1,2,0,,,312,279,255,265,87,221,243,253,424,355,422,264,,,217.83,580.35,582.62,491.9,516.65,362.87,246.44,204.81,210.03,347.47,286.96,290.07,496.68,506.96,492.94,483.54,446.3,333.11,231.43,,
386,17715203,5,4,5,6,0,1,0,1,1,1,1,0,,,289,309,324,216,196,142,113,142,233,229,309,199,,,75.41,278.76,277.15,235.7,190.83,143.35,111.77,80.64,92.02,194.26,218.34,248.68,262.36,269.41,311.47,310.61,281.3,172.2,144.76,,
387,17683748,5,3,5,7,2,1,0,0,1,1,2,0,,,187,228,200,198,81,62,52,59,192.73,196.56,186.11,,232.54,248.61,256.52,228.24,343.95,222.89,214.2,205.15,163.7,132.49,155.78,247.09,229.95,210.82,202.32,170.12,162.89,185.09,205.71,199.92,165.67,,
388,17696788,4,2,4,8,0,1,1,0,1,1,2,0,,,284,279,345,261,205,171,197,153,231,232,271,,,81.87,300.83,413.92,386.3,318.55,256.66,185.91,180.71,159.3,151.25,209.94,331.51,291.23,368.64,331.92,330.54,299.84,256.16,196.93,174.68,,
389,17715932,5,5,5,7,1,2,2,2,2,1,3,1,,,586,592,609,473,411,321,291,288,416,581,317,,,282.68,600.51,789.56,722.14,573.38,587.88,409.23,363.49,306.56,345.73,449.11,584.64,649.6,633.6,600.31,558.52,651.13,582.01,403.28,309.26,,
390,17708130,4,5,4,12,1,0,0,0,0,0,2,0,,,96,135,253,167,115,62,58,56,43.8,68.14,63.74,,,,255.95,175.55,184.79,177.05,165.5,159.21,121.53,116.29,121.18,167.49,162.04,192.73,196.56,186.11,211.5,209.03,238.06,228.2,115.03,,
391,17705526,5,5,5,13,1,1,1,1,1,1,5,0,,,295,309,199,328,252,229,206,181,252,265,90,,,,472.17,288.33,307.05,295.33,281.6,267.31,251.93,196.74,49.17,114.63,118.19,145.28,233.59,206.15,218.3,171.88,156.67,108.89,91.58,,
392,17696025,4,4,4,13,1,1,1,1,0,1,2,0,,,472,90,18,81,103,180,397,359,102,88,60,0,,,380.43,372.57,394.58,367.68,274.03,145.46,116.32,96.77,105.84,177.72,321.45,332.69,460.64,427.85,420.62,465.55,326.9,188.13,118.06,,
393,17689681,5,6,5,11,1,2,0,2,0,2,3,0,,,623,639,307,164,134,84,30,147,147,166,178,173,,,367.6,221.18,182.05,151.69,147.4,135.62,84.92,74.13,81.74,142.39,169.07,153.81,164.07,157.73,154.89,169.5,144.9,115.09,82.51,,
394,17684286,5,3,5,8,2,0,0,2,0,0,1,0,,,149,119,128,120,74,52,66,58,81,92,107,,,59.2,267.36,144.81,207.32,212.36,228.9,171.6,120.35,96.13,125.44,218.92,238.24,215.98,261.05,258.99,258.99,255.04,196.39,156.9,115.53,,
395,17674378,5,8,5,10,1,2,2,2,2,2,3,0,,,404,427,486,390,289,211,221,233,337,115,103.04,,,812.93,437.98,431.91,441.81,395.96,367.23,306.75,275.82,328.52,271.64,336.59,569.48,478.21,510.75,450.58,442.08,473.73,409.3,301.02,277.28,,
396,17696059,5,5,5,10,2,2,2,2,2,2,5,1,,,678,687,724,768,561,445,392,214,215,261,215,0,,,225.45,122.98,119.57,109.02,121.04,103.04,81.28,64.93,74.03,99.44,122.66,129.94,129.02,130.42,138.24,126.13,135.93,110.34,79.42,,
397,17674452,4,8,4,10,2,2,0,1,0,1,2,0,,,368,417,316,260,140,104,122,129,213,94,99.44,,,628.34,315.02,378.78,308.55,291.91,367.6,212.76,139.19,133.12,120.94,203.58,451.87,366.52,418.65,354.77,308.27,401.15,313.6,204.79,132.76,,
398,17715082,5,5,5,10,2,2,1,1,1,1,2,0,,,338,337,343,317,245,210,250,189,272,279,271,,,,414.13,370.59,339.58,344.53,327.99,218.25,222.69,222.82,187.38,262.38,339.37,342.69,393.15,386.51,371.67,363.99,330.66,284.59,244.12,,
399,17705564,5,7,5,11,1,2,2,3,3,2,4,1,,,827,862,802,824,492,407,418,453,583,855,448,,,,1229.19,976.31,1050.37,885.18,665.37,384.51,414.07,366.97,389.55,509.73,853.07,790.28,806.2,873.83,808.66,896.66,595.72,408.75,422.51,,
400,17728775,5,2,5,12,0,0,0,0,0,0,0,0,,,24,27,48,46,40,19,55,62,102,174,68,,,100.24,145.26,68.37,133.97,147.09,129.1,132.03,93.6,78.78,75.97,91.86,55.21,94.68,162.07,146.46,158.97,107.4,149.39,128.69,96.4,,
401,17718994,5,5,5,11,3,1,2,3,2,2,5,1,,,886,852,1044,865,564,431,365,409,738,955,638,,,158.09,994.13,1035.05,1090.5,1093.25,845.87,558,504.67,445.4,442.45,707.24,990.99,986.9,834.06,933.05,1101.66,1085.31,838.08,605.26,506.53,,
403,17728243,5,5,5,13,2,1,0,2,1,2,2,0,,,187,773,406,229,209,139,110,85,224,228,69,,,186.52,250.08,307.2,357.95,335.3,302.7,252.95,174.55,110.56,143.37,252.72,296.26,346.37,339.33,340.15,342.6,340.72,290.05,210.39,122.87,,
404,17715453,5,2,5,10,3,1,1,2,2,2,4,1,,,869,829,945,708,353,249,251,214,305,436,303,,,215.59,584.11,1040.14,700.5,99.71,111.33,145.8,389.64,420.06,228.03,427.1,602.8,764.71,975.65,936.13,815.33,635.58,673.25,672.1,388.2,,
406,17686456,5,7,5,12,2,1,1,2,2,1,5,1,,,707,523,179,331,269,280,309,272,360,663,687,319,,,344.84,714.77,552.62,503.14,485.12,408.46,317.35,367.55,330.31,431.75,681.66,567.02,740.49,759.3,822.91,681.08,499.76,423.71,133.3,,
408,17809614,4,4,4,7,1,0,1,1,0,1,0,0,,,729,805,670,67,62,38,62,43,37,78.06,60.63,,551.99,492.05,522.52,486.67,594.18,473.57,372.6,280.08,253.83,189.61,174.93,292.05,542.82,397.65,403.67,492.64,721.93,531.79,499.63,345.64,240.61,,
411,17805170,3,3,2,7,1,0,1,0,1,1,0,0,,,376,360,483,452,326,233,199,193,361,473,368,156,,,136.43,292.44,265.68,246.46,224.4,161.4,119.94,86.15,145.59,276.55,322.47,364.8,373.08,348,362.51,390.77,270.24,208.28,235.02,,
414,17807923,4,3,5,7,1,0,0,1,0,1,1,1,,,614,572,594,577,318,250,267,250,363,498,379,,,196.7,441.46,636.41,564.55,487.43,476.76,313.81,252.09,317.25,307.21,359.49,705.22,557.3,744.71,731.92,573.63,625.07,545.72,415.51,310.34,,
417,17792048,2,3,4,4,1,0,0,0,0,1,0,0,,,125,108,132,103,82,72,69,60,95,115,160,104,,,144,205.11,189.22,177.92,218.17,212.16,227.02,166.04,115.18,112.07,78.06,60.63,65.55,142.04,136.06,117.09,113.1,105.96,102.79,,
418,17831644,4,4,4,7,1,0,0,1,0,1,0,0,,,496,625,586,516,457,279,315,286,389,407,515,391,,,88.87,457.38,451.8,464.03,464.77,419.29,430.34,378.55,358.45,443.9,386.4,431.31,467.17,445.88,502.88,464.95,453.4,206.03,195.63,,
419,17831042,3,3,3,8,1,0,0,0,0,1,0,0,,,106,143,180,160,142,141,144,136,148,138,157,120,,,48.08,152.56,163.94,184.32,120.31,109.33,120.95,137.03,108.38,107.39,150.62,135.35,190.48,163.85,120.87,185.11,124.49,116.53,138.84,,
420,17807779,3,3,3,7,1,0,0,1,0,1,1,0,,,443,482,508,541,417,242,263,281,510,112,427.85,,,828.82,542.99,463.6,487.42,521.22,495.01,395.64,329.07,231.31,193.37,329.22,322.2,441.63,473.95,510.91,529.76,555.64,567.39,338.25,184.36,,
421,17805594,3,3,4,6,1,0,1,1,0,1,0,0,,,189,164,203,298,236,177,154,164,250,378,235,316,,,84.13,429.11,575.97,492.98,412.08,210.13,183.1,200.83,177.45,253.53,455.02,420.14,457.98,370.44,394.42,493.03,340.72,221.85,230.01,,
423,17813932,3,2,3,6,1,0,0,0,0,1,0,0,,,380,378,432,357,265,228,246,117,579.48,450.79,119.87,,379.23,418.96,367.41,493.02,483.71,424.77,387.71,284.44,272.58,272.96,258.97,334.06,457.53,395.99,447.72,436.16,378.26,420.9,319.45,236.98,224.35,,
424,17819486,4,2,3,7,1,0,0,0,0,1,0,0,,,286,315,288,264,213,272,394,427,355,365,439,206,,,172,417.44,1520.07,792.03,641.87,319.91,335.35,344.38,306.01,373.49,411.62,387.65,387.4,404.17,373.75,423.66,384.03,325.06,309.12,,
426,17802265,3,3,2,4,1,0,0,0,0,1,0,0,,,276,278,317,269,145,102,114,107,248,196,101.13,,,319.5,250.81,312.95,340.09,304.23,226.9,173.51,149.76,134.64,201.28,298.38,427.85,355.56,384.61,333.43,315.5,294.01,189.59,162.73,117.21,,
427,17808442,3,2,3,5,1,0,0,0,0,1,0,0,,,229,256,257,166,141,94,69,65,160,207,134,,,,385.27,219.28,233.79,261.29,229.7,161.11,119.12,65.45,83.82,149.82,291.82,249.28,329.75,281.32,205.96,251.2,187.99,135.35,62.95,,
429,17800201,2,2,3,5,1,0,0,0,0,1,0,0,,,114,139,171,151,122,94,98,92,133,168,59,,,123.63,162.51,167.93,186.34,232.69,162.64,184.31,138.45,205.97,107.85,136.6,281.86,223.37,213.36,215.25,247.16,258.57,205.64,167.66,127.68,,
431,17800184,3,3,2,9,1,0,0,0,0,1,1,0,,,700,608,480,351,474,361,421,404,595,785,317,,,580.08,683.38,824.93,746.37,630.11,618.81,499.7,429.41,381.09,396.04,446.66,118.27,130.21,119.22,119.31,170.23,167.32,110.93,90.49,95.07,,
435,17788069,4,4,4,8,1,0,0,1,0,1,1,0,,,332,314,442,477,292,235,260,244,348,477,605,36,,,547.47,593.87,470.53,442.68,352.91,276.14,251.97,210.8,215.52,296.04,541.71,513.06,681.68,576.4,468.27,578.93,423.39,282.47,190.69,,
437,17832322,4,4,5,8,1,0,0,0,0,1,0,0,,,1045,1420,1005,847,417,256,323,287,443,648,913,553,,,288.03,1162.4,1318.16,579.48,450.79,119.87,121.24,127.38,167.54,224.12,504.69,520.39,851.8,1058.39,967.56,358.73,423.4,490.21,204.22,,
438,17821933,1,2,2,6,1,0,0,0,0,1,0,0,,,137,158,158,119,80,65,78,63,63,79,106,,,,72.05,98.03,96.79,105.08,72.98,65.55,67.38,58.9,50.42,57.81,133.48,83.78,120.27,98.46,90.49,74.54,76.4,58.15,45.51,,
439,17809851,4,4,5,8,1,0,0,0,1,1,1,0,,,231,370,430,471,285,168,219,205,303,387,401,,,,388.08,492.01,438.07,371.39,385.73,273.06,220.99,237.95,190.02,311.43,472.44,410,607.64,539.69,572.34,628.22,578.08,354.56,204.5,,
440,17828930,3,3,2,3,1,0,0,1,0,1,0,0,,,21,133,302,211,154,72,87,85,263,328,222,,,159.58,312.02,432.39,404.26,295.33,251.87,153.91,95.84,81.08,71.08,212.97,457.55,382.49,409.64,342.35,304.19,343.89,239.84,132.32,114.93,,
441,17826141,3,3,3,8,1,0,0,0,0,1,0,0,,,316,324,397,293,186,129,133,128,228,251,358,89,,,277.38,346.91,441.73,393.61,353.6,215.46,191.63,159.69,135.03,236.28,366.31,232.43,45.65,114.15,120.22,105.21,122.41,109.35,63.31,,
443,17837151,4,3,2,9,1,0,0,0,0,1,0,0,,,207,245,291,279,242,149,145,110,241,340,363,285,,,120.26,385.21,382.95,369.05,334.11,255.8,189.85,160.97,184.58,234.06,408.81,460.86,530.93,623.18,625.85,624.95,571.54,444.26,248.5,,
444,17810374,3,2,2,8,1,0,0,0,0,1,0,0,,,150,138,181,161,126,91,97,132,197,179,193,148,,,54.34,213.98,202.09,148.44,101.05,98.87,92.65,81.91,80.88,100.37,90.9,77.52,49.45,68.39,58.97,55.21,64.16,57.57,144.08,,
445,17787978,3,2,2,12,1,0,0,1,0,1,1,0,,,239,298,311,260,165,86,112,87,192,269,282,,,34.66,217.88,248.42,232.9,205.94,241.91,175.34,103.19,104.09,83.06,152.73,273.31,267.84,415.2,372.3,263.23,268.01,214.88,171.93,95.76,,
446,17800358,2,2,3,9,1,0,0,,0,1,0,0,,,141,163,202,171,128,69,18,26,95,113,81,14,,,107.55,101.05,85.28,66.13,83.15,89.93,35.91,19.47,60.21,85.94,80.4,98.81,88.22,87.53,102.78,79.25,112.5,66.9,26.16,,
447,17798066,2,3,3,8,1,0,0,0,0,1,0,0,,,181,203,188,198,109,85,79,79,175,201,135,,,62.65,195.75,194.15,218.31,209.58,176.57,138.24,96.43,74.65,86.16,197.32,228.95,267.18,262.45,266.97,245.83,251.44,244.84,197.86,148.29,,
449,17816890,2,2,2,8,1,0,0,1,0,1,0,0,,,223,236,210,226,194,123,96,111,224,189,54.18,,63.35,226.17,285.74,255.43,258.78,245.86,199.46,188.32,164.67,107.05,56.44,289.66,104.62,35.24,304.65,363.96,280.46,269.64,256.23,174.3,190.95,,
452,17808404,2,3,3,4,1,0,0,0,0,1,0,0,,,59,59,62,61,49,34,30,29,51,64,25,,,,105.04,61.99,65.37,63.53,59.93,54.18,38.53,33.62,36.67,60.59,64.94,66.1,65.74,62.54,72.18,71.74,71.33,63.76,47.8,,
453,17791092,2,3,33,8,1,0,0,0,0,1,0,0,,,310,298,321,277,178,137,154,144,177,343,280,166,,,72.42,280.76,287.57,229.9,220.35,154.26,154.22,44.41,89.37,73.33,320.14,344.36,446.15,419.62,389.81,363.08,272.24,175.31,200.22,,
454,17793440,2,4,3,14,1,0,0,1,0,1,0,0,,,286,408,579,356,157,102,104,108,176,305,367,112,,,211.85,313.9,235.84,329.16,199,192.37,137.42,101.13,120.96,163.89,448.23,342.71,537.06,623.44,505.53,516.83,337.39,191.94,116.2,,
455,17819185,2,3,3,8,1,0,0,0,0,1,0,0,,,54,296,280,273,182,163,154,150,224,250,202,,,,352.06,286.7,266.05,267.65,220.22,217.46,189.26,143.3,171.01,218.6,227.34,209.36,210.5,225.52,234.9,213.04,216.04,184.47,162.12,,
457,17794985,2,3,3,9,1,0,0,0,0,1,0,0,,,279,112,345,313,267,163,143,134,234,312,206,284,,,68.84,224.26,288.12,293.94,287.31,240.91,159.69,128.58,159.45,243.66,265.23,264.95,252.13,123.59,246.21,239.92,199.41,198.09,143.74,,
458,17806111,2,3,2,11,1,0,0,1,0,1,1,0,,,353,327,373,327,289,244,208,248,282,319,244,100,,,421.88,394.89,368.95,339.61,351.05,305.18,310.51,329.53,272.3,309.65,395.26,403.29,481.67,464.99,397.1,466.94,415.46,337.3,320.07,,
459,17831362,2,3,3,8,1,0,0,0,0,1,0,0,,,242,275,313,297,191,161,203,184,210,249,322,135,,,116.26,306.15,833.42,278.31,244.56,196.9,155.57,152.53,144.31,128.06,90.68,144.26,133.4,141.58,112.79,104.73,108.73,113.58,113.77,,
461,17821204,2,3,3,9,1,0,0,0,0,1,0,0,,,399,342,352,405,194,141,133,133,205,392,380,0,,,314.79,396.74,392.03,332.43,304.59,183.36,167.37,153.8,154.41,221.2,520.73,417.06,482.22,463.64,387.29,417.71,337.93,228.5,174.35,,
463,17816706,2,4,3,8,1,0,0,1,0,1,0,0,,,223,221,171,215,17,9,11,13,45,149,43.83,,66.27,302.1,259.62,385.61,404.03,317.26,237.82,154.04,65.39,43.83,63.81,182.26,406.5,407.25,543.96,467.49,500.12,561.66,366.06,208.58,106.67,,
464,17824798,2,4,3,2,0,0,0,0,0,0,0,0,,,125,213,246,222,100,195,221,216,266,325,437,96,,,343.05,316.2,311.83,300.13,319.49,44.37,49.25,42.59,51.82,69.23,70.55,77.96,82.95,71.08,83.31,96.15,80.64,65.89,50.61,,
465,17826811,2,3,3,8,1,0,0,0,0,1,0,0,,,270,251,26,8,90,82,72,95,129,98,69,,,,217.24,139.98,128.94,135.83,110.33,166.87,87.62,92.74,106.92,132.91,109.03,198.79,173.89,154.76,166.72,182.72,133.44,137.99,111.57,,
466,17830805,2,3,3,8,1,0,0,0,0,1,0,0,,,603,847,624,628,199,205,179,164,259,314,196,,,66.32,100.32,50.09,90.82,81.7,80.18,46.7,31.98,35.53,32.93,100.09,167.06,175.13,188.72,157.19,141.44,131.62,132.6,131.83,80.84,,
467,17823151,2,4,4,9,1,0,1,1,0,1,1,0,,,598,545,576,505,401,293,277,295,361,413,523,183,,,223.67,532.5,481.05,495.55,403.58,340.69,333.17,281.94,268.9,367.93,548.32,460.3,575.59,658.66,582.2,628.43,503.02,426.38,307.32,,
468,17810675,2,3,3,,1,0,,,,1,,0,,,10,63,10,11,74,56,58,55,85,108,28,,,82.45,137.73,129.47,139.05,161.06,119.85,272.21,166.55,122.3,58.97,55.21,138.02,64.78,18.09,23.33,21.2,43.05,72.93,65.17,89.3,,
470,17805363,3,2,3,12,1,0,0,0,0,,0,0,,,555,598,660,568,381,186,189,157,577,735,782,340,,,406.02,856.31,842.93,694.23,645.16,348.71,225.05,138.88,218.75,409.4,624.63,620.5,717.6,901.22,736.19,229.53,230.94,162.59,110.23,,
473,17811711,3,3,3,10,1,0,0,1,0,1,1,0,,,645,661,581,497,368,182,184,152,316,412,492,354,,,269.14,141.2,1183.55,544.08,453.71,315.7,209.37,144.18,164.3,294.79,401.31,414.79,532.15,497.94,450.88,492.71,400.34,294.09,227.1,,
476,17810730,3,2,3,9,1,0,0,0,0,1,0,0,,,409,429,351,409,277,143,322,172,369,481,250,,,802.27,988.97,799.08,761.68,646.62,531.55,450.18,417.83,424.83,326.31,518.91,725.23,614,750.11,650.58,684.42,796.45,621.94,506.28,384.68,,
477,17807336,4,3,4,8,1,0,0,0,0,1,0,0,,,256,276,253,299,219,152,145,276,305,320,159,,,57.95,289.63,275.7,375.71,336.74,297.46,225.12,207.96,269.14,214.67,227.77,258.2,315.55,169.62,163.37,273.13,226.32,241.82,189.73,171.27,,
478,17789103,4,3,3,9,1,1,2,2,1,1,1,1,,,1422,1545,1491,1350,598,532,541,620,817,1184,617,,,,2177.47,1381.43,1211.45,1271.78,1204.78,653.58,468.42,449.35,421.16,503.2,989.1,966.04,1275.85,1324.3,1175.55,1253.55,851.01,604.9,420.77,,
479,17821007,3,4,4,7,1,0,0,0,0,1,0,1,,,389,453,415,402,457,350,491,463,363,376,254,,,,200,737.87,482.16,351.05,316.87,380.37,355.85,445.86,344.25,317.93,449.93,397.63,487.38,472.96,418.74,415.54,363.31,366.28,328.91,,
480,17804651,4,4,4,9,1,0,0,1,0,1,0,0,,,442,558,431,535,404,202,170,223,128.58,159.45,243.66,,664.19,668.57,686.27,700.36,732.13,674.08,587.06,402.73,376.93,346.33,341.03,495.89,547.79,587.73,649.87,660.64,657.54,697.38,684.49,520.09,340.48,,
481,17789711,2,3,4,10,1,0,0,0,0,1,0,0,,,293,338,285,211,192,118,123,116,226,221,87,,,,134.24,556.14,325.24,296.2,300.94,150.37,109.66,109.56,112.83,175.71,192.78,272.21,285.96,280.35,280.8,306.58,250.23,178.15,119.53,,
482,17838054,2,3,4,8,1,0,0,0,0,1,0,0,,,200,70,112,102,94,105,134,85,110,87,112,53,,,134,294.46,366.65,368.76,226.11,196.4,126.57,131.21,118.86,224.61,318.94,271.25,397.47,323.64,218.23,501.8,318.09,171.49,166.04,,
483,17794932,2,2,3,8,1,0,0,1,0,1,0,0,,,332,313,352,326,253,149,150,143,227,318,366,290,,,70.84,376.27,402.8,384.69,326.54,256.51,232.7,231.39,227.31,319.3,386.99,412.86,444.82,478.64,491.82,499.14,441.45,329.23,289.4,,
484,17837931,2,2,3,6,1,0,0,0,0,1,0,0,,,911,262,343,378,324,292,354,317,300,315,369,73,,,197.22,310.95,320.32,260.51,160.63,212.38,283.97,305.79,239.26,219.47,342.74,299.44,388.29,333.15,329.06,339.91,284.85,268.56,316.26,,
486,17807482,3,3,3,,1,,,,,1,,,,,259,304,252,271,246,227,204,193,257,319,271,27,,,193.17,382.63,505.24,83.39,16.21,16.76,18.29,18.98,16.04,18.24,15.87,16.9,17.16,17.45,17.44,15.76,16.02,43.3,25.47,,
